q,m_kg,m_over_mp,m_microgram
0.7225,1.2560002271404504e-08,0.5770907961123072,12.560002271404503
0.725,1.2582878870395347e-08,0.5781419005976961,12.582878870395346
0.7275,1.260556142582825e-08,0.5791840894197823,12.605561425828249
0.73,1.2628049587910145e-08,0.5802173465067249,12.628049587910144
0.7325,1.2650343009845758e-08,0.5812416559244215,12.650343009845757
0.735,1.2672441347842936e-08,0.5822570018767534,12.672441347842936
0.7375,1.269434426111798e-08,0.5832633687058305,12.69434426111798
0.74,1.2716051411900865e-08,0.5842607408922309,12.716051411900866
0.7425,1.2737562465440476e-08,0.5852491030552419,12.737562465440476
0.745,1.2758877090009757e-08,0.5862284399530963,12.758877090009756
0.7475,1.2779994956910828e-08,0.5871987364832075,12.779994956910828
0.75,1.280091574048006e-08,0.5881599776824029,12.80091574048006
0.7525000000000001,1.2821639118093087e-08,0.5891121487271538,12.821639118093087
0.755,1.2842164770169792e-08,0.5900552349338051,12.842164770169791
0.7575000000000001,1.286249238017923e-08,0.5909892217588008,12.86249238017923
0.76,1.2882621634644503e-08,0.5919140947989083,12.882621634644503
0.7625000000000001,1.2902552223147613e-08,0.5928298397914417,12.902552223147612
0.765,1.2922283838334224e-08,0.59373644261448,12.922283838334224
0.7675000000000001,1.2941816175918425e-08,0.5946338892870864,12.941816175918426
0.77,1.2961148934687404e-08,0.5955221659695228,12.961148934687404
0.7725,1.298028181650611e-08,0.5964012589634642,12.980281816506109
0.775,1.2999214526321832e-08,0.5972711547122089,12.999214526321833
0.7775,1.3017946772168766e-08,0.5981318398008885,13.017946772168767
0.78,1.3036478265172507e-08,0.5989833009566738,13.036478265172507
0.7825,1.305480871955451e-08,0.5998255250489811,13.05480871955451
0.785,1.3072937852636492e-08,0.6006584990896727,13.072937852636493
0.7875,1.3090865384844792e-08,0.6014822102332583,13.090865384844792
0.79,1.310859103971469e-08,0.6022966457770934,13.10859103971469
0.7925,1.3126114543894656e-08,0.6031017931615742,13.126114543894657
0.795,1.3143435627150581e-08,0.6038976399703321,13.14343562715058
0.7975,1.3160554022369933e-08,0.6046841739304248,13.160554022369933
0.8,1.3177469465565881e-08,0.6054613829125256,13.177469465565881
0.8025,1.3194181695881364e-08,0.6062292549311105,13.194181695881364
0.805,1.3210690455593122e-08,0.6069877781446433,13.210690455593122
0.8075,1.3226995490115648e-08,0.6077369408557574,13.226995490115648
0.81,1.3243096548005151e-08,0.6084767315114372,13.243096548005152
0.8125,1.3258993380963394e-08,0.6092071387031958,13.258993380963394
0.8150000000000001,1.3274685743841547e-08,0.6099281511672503,13.274685743841548
0.8175,1.3290173394643963e-08,0.6106397577846969,13.290173394643963
0.8200000000000001,1.3305456094531908e-08,0.6113419475816811,13.305456094531909
0.8225,1.3320533607827245e-08,0.6120347097295679,13.320533607827246
0.8250000000000001,1.3335405702016066e-08,0.6127180335451076,13.335405702016066
0.8275,1.3350072147752282e-08,0.6133919084906019,13.350072147752282
0.8300000000000001,1.3364532718861153e-08,0.6140563241740653,13.364532718861152
0.8325,1.337878719234279e-08,0.6147112703493863,13.37878719234279
0.835,1.3392835348375572e-08,0.6153567369164844,13.392835348375572
0.8375,1.3406676970319559e-08,0.6159927139214669,13.406676970319559
0.84,1.3420311844719815e-08,0.6166191915567815,13.420311844719814
0.8425,1.3433739761309712e-08,0.6172361601613681,13.433739761309711
0.845,1.3446960513014163e-08,0.6178436102208076,13.446960513014163
0.8475,1.3459973895952825e-08,0.6184415323674687,13.459973895952825
0.85,1.347277970944323e-08,0.619029917380652,13.47277970944323
0.8525,1.3485377756003895e-08,0.6196087561867331,13.485377756003896
0.855,1.3497767841357358e-08,0.6201780398593012,13.497767841357359
0.8575,1.3509949774433176e-08,0.6207377596192981,13.509949774433176
0.86,1.3521923367370867e-08,0.6212879068351523,13.521923367370867
0.8625,1.3533688435522824e-08,0.6218284730229138,13.533688435522823
0.865,1.3545244797457134e-08,0.6223594498463828,13.545244797457135
0.8675,1.3556592274960403e-08,0.6228808291172399,13.556592274960403
0.87,1.356773069304049e-08,0.6233926027951717,13.56773069304049
0.8725,1.3578659879929213e-08,0.6238947629879953,13.578659879929212
0.875,1.3589379667084985e-08,0.624387301951779,13.589379667084986
0.8775000000000001,1.359988988919543e-08,0.6248702120909629,13.599889889195431
0.88,1.3610190384179918e-08,0.6253434859584751,13.610190384179917
0.8825000000000001,1.362028099319208e-08,0.6258071162558472,13.620280993192079
0.885,1.3630161560622235e-08,0.6262610958333263,13.630161560622234
