L,N,rho,boundary,freeze,T_LR,T_RL,DeltaT,nu_Q
8,7,0.875,OBC,dephase,-0.0001887834986114001,0.00016673357627894347,-0.00035551707489034357,-1
8,7,0.875,OBC,clamped,-0.00023669698245853965,0.000142599709374025,-0.00037929669183256465,-1
8,7,0.875,PBC,hard,-0.00014624970834375972,0.0001462497078996705,-0.00029249941624343023,-1
8,7,0.875,PBC,dephase,-0.0002779421772736157,0.0002716422602411228,-0.0005495844375147385,-1
8,7,0.875,PBC,clamped,-0.0002288021070384616,6.855849665754477e-05,-0.00029736060369600636,-1
10,1,0.1,OBC,hard,0.0005879981550549473,-0.0005879981532785905,0.0011759963083335379,1
10,1,0.1,OBC,dephase,0.00028799914009169925,-0.0005879981532785905,0.0008759972933702898,1
10,1,0.1,OBC,clamped,0.0005819982047405858,-0.0005144983754590271,0.001096496580199613,1
10,1,0.1,PBC,hard,0.0005879981550549473,-0.0005879981532785905,0.0011759963083335379,1
10,1,0.1,PBC,dephase,0.00041999877309351064,-0.0005879981532785905,0.0010079969263721011,1
10,1,0.1,PBC,clamped,0.0008854973057026427,0.0001714994404267145,0.0007139978652759282,1
10,2,0.2,OBC,hard,0.004117573522144369,0.0020111303697945004,0.0021064431523498683,1
10,2,0.2,OBC,dephase,0.0038764768910404257,0.00194477618098432,0.0019317007100561057,1
10,2,0.2,OBC,clamped,0.0041151966154728825,0.0019226774616853959,0.0021925191537874866,1
10,2,0.2,PBC,hard,0.004117573522144369,0.0020111303697945004,0.0021064431523498683,1
10,2,0.2,PBC,dephase,0.004203564448523878,0.001689973814222867,0.0025135906343010106,1
10,2,0.2,PBC,clamped,0.004144788734006255,0.0014686676692576839,0.002676121064748571,1
10,3,0.3,OBC,hard,0.006151967936851577,0.0036270626502243886,0.002524905286627188,1
10,3,0.3,OBC,dephase,0.005850945881569203,0.0035591376690291554,0.0022918082125400474,1
10,3,0.3,OBC,clamped,0.0062959026978504085,0.003695557951211015,0.0026003447466393936,1
10,3,0.3,PBC,hard,0.006151967936851577,0.0036270626502243886,0.002524905286627188,1
10,3,0.3,PBC,dephase,0.0061311123831231384,0.003123528768966821,0.0030075836141563173,1
10,3,0.3,PBC,clamped,0.007163421406275461,0.004716150947992048,0.0024472704582834126,1
10,4,0.4,OBC,hard,0.005988262491207763,0.00358230338814991,0.002405959103057853,1
10,4,0.4,OBC,dephase,0.005675779929603664,0.00348830591789806,0.0021874740117056035,1
10,4,0.4,OBC,clamped,0.006211849560955329,0.003720643323212869,0.0024912062377424604,1
10,4,0.4,PBC,hard,0.005988262491207763,0.00358230338814991,0.002405959103057853,1
