N,D,topology,trial,M,steps,rho_D_final,mm_ratio,mm_se,mm_dimension,dist_to_gamma4,eta,alignment_mean,alignment_se
1000,2,small_world,3,958,42,0.958,0.36186254212181324,0.006435252584273409,3,0.16086254212181322,1.0,0.3472843943557394,0.008721455692336882
1000,2,small_world,4,950,38,0.95,0.3414005519416519,0.006708982271797971,3,0.1404005519416519,1.0,0.13573135592086527,0.010150737460684853
1000,2,small_world,0,950,66,0.95,0.41514033654982696,0.005352727502118685,2,0.21414033654982695,1.0,0.005122834233897723,0.01019944173952303
1000,2,small_world,1,951,65,0.951,0.41898298488690955,0.005254588842636916,2,0.21798298488690954,1.0,0.005703783864198024,0.010070644358040563
1000,2,small_world,2,954,68,0.954,0.418270251846371,0.005273346982271608,2,0.217270251846371,1.0,0.0194214293879875,0.010076654154303293
1000,2,small_world,3,954,61,0.954,0.40777724023007045,0.00554486687340404,2,0.20677724023007044,1.0,0.026054155366459407,0.010103559852774044
1000,2,small_world,4,952,58,0.952,0.413323290124378,0.005397704030986286,2,0.212323290124378,1.0,0.17413218036990483,0.010112389965238399
1000,2,small_world,0,956,39,0.956,0.3550061727644255,0.006533551073922107,3,0.15400617276442546,1.0,0.008381015921219022,0.011596461655309401
1000,2,small_world,1,957,39,0.957,0.3487901744554766,0.006629806592526938,3,0.1477901744554766,1.0,0.03396236631589822,0.011478803158411504
1000,2,small_world,2,961,36,0.961,0.3386549155922583,0.006732076146498153,3,0.1376549155922583,1.0,0.03614474594661762,0.010561339361162894
1000,2,small_world,3,961,38,0.961,0.3408618557586247,0.0067200423617883465,3,0.1398618557586247,1.0,0.17355706379570573,0.010668007550357485
1000,2,small_world,4,950,41,0.95,0.3397540437522526,0.006718470344608169,3,0.1387540437522526,1.0,0.003558272272965586,0.010123867661548939
1000,3,random_regular,0,960,56,0.96,0.42200725990723686,0.005178375457507628,2,0.22100725990723685,1.183176136645585,0.597737741043083,0.007833440708714997
1000,3,random_regular,1,956,53,0.956,0.4179149938326843,0.005310927121526088,2,0.2169149938326843,1.1829587436954194,0.1065361596914689,0.008214997404573397
1000,3,random_regular,2,951,47,0.951,0.4134043079884119,0.005431837978581584,2,0.21240430798841187,1.3745009817697391,0.19964684626069903,0.008482224473068851
1000,3,random_regular,3,951,51,0.951,0.4219624679852176,0.005215358011946467,2,0.22096246798521757,1.2914672151071431,0.3371655119007301,0.007938457608258691
1000,3,random_regular,4,959,50,0.959,0.42515389846011276,0.005109312148802812,2,0.22415389846011274,1.2922280612949026,0.3858249487633686,0.007527132581505965
1000,3,random_regular,0,955,30,0.955,0.3567234662285335,0.006581042478538302,3,0.1557234662285335,1.3971342186528788,0.5165820861249442,0.006682239097340669
1000,3,random_regular,1,965,31,0.965,0.3534009621556522,0.006636733140680307,3,0.1524009621556522,1.3665296611918554,0.274999924909746,0.010134414577655057
1000,3,random_regular,2,957,29,0.957,0.3369306767383438,0.006815484715038034,3,0.1359306767383438,0.8660527382878396,0.33731390654323556,0.008213576248086328
1000,3,random_regular,3,960,33,0.96,0.35431869608259087,0.006613160311371955,3,0.15331869608259086,1.4130676767866661,0.11724507482245013,0.010357208608580647
1000,3,random_regular,4,960,35,0.96,0.3437435795253277,0.006753268818985823,3,0.14274357952532768,1.2581978736473902,0.1960687593865552,0.010574939125363444
1000,3,random_regular,0,955,52,0.955,0.4222059509615883,0.005193650153200734,2,0.2212059509615883,0.8340531831085699,0.08314031440947897,0.008461456574753397
1000,3,random_regular,1,956,51,0.956,0.42110953085247066,0.005215522135833743,2,0.22010953085247065,0.8838509179713515,0.09436690546366647,0.008538664351500452
1000,3,random_regular,2,954,49,0.954,0.4164873178799504,0.005344165166244796,2,0.2154873178799504,1.4133683973166924,0.014641983764101371,0.008862282425894302
1000,3,random_regular,3,956,48,0.956,0.4216471709204154,0.005220816827793462,2,0.22064717092041541,1.2613891935427264,0.11039765171416871,0.008739336045349256
1000,3,random_regular,4,950,50,0.95,0.41921954825104896,0.00527751492855475,2,0.21821954825104894,1.4141241240567908,0.12940607632856457,0.008346307879453351
1000,3,random_regular,0,965,29,0.965,0.358526389742689,0.00655104850901874,3,0.157526389742689,1.4015065605948565,0.18063163528604387,0.008280383822790694
1000,3,random_regular,1,957,27,0.957,0.3517985349643862,0.006650774107172962,3,0.15079853496438617,1.4130460835451686,0.13759005155515755,0.00955244823185015
1000,3,random_regular,2,950,26,0.95,0.35422990810359234,0.0066065976875894,3,0.15322990810359233,1.122826336362943,0.2655608726907947,0.007635662668560384
1000,3,random_regular,3,953,26,0.953,0.3387893552796891,0.006811650199482795,3,0.1377893552796891,1.4128594605701348,0.07640066317506086,0.00974441401305803
1000,3,random_regular,4,959,24,0.959,0.34562943255922074,0.006733501105960553,3,0.14462943255922073,0.9109563330056488,0.10449321151434131,0.008293771531474047
1000,3,small_world,0,954,68,0.954,0.4153106283734829,0.00535283682118767,2,0.21431062837348291,1.4140481935426097,0.06600621530734826,0.009442293214663175
1000,3,small_world,1,951,71,0.951,0.4231260327474839,0.005140710598356998,2,0.22212603274748388,0.8855957336887916,0.08091935707232321,0.008958295888491724
1000,3,small_world,2,953,72,0.953,0.41540020738908406,0.005334757397419462,2,0.21440020738908405,0.9741988696236612,0.0901439523888779,0.008633716678005394
1000,3,small_world,3,956,70,0.956,0.4207517456531656,0.005206490625987072,2,0.21975174565316558,1.2235021112136142,0.10374270692219191,0.00874882452677373
