q_access,archive_fraction_A,mass_over_mp,classicality_proxy
0.18,0.8200000000000001,0.6113419475816813,0.9953884903375669
0.1825,0.8175,0.6106397577846969,0.9952349631098182
0.185,0.815,0.6099281511672503,0.9950768169682891
0.1875,0.8125,0.6092071387031958,0.9949139307689873
0.19,0.81,0.6084767315114372,0.9947461807990147
0.1925,0.8075,0.6077369408557574,0.994573440741872
0.195,0.8049999999999999,0.6069877781446432,0.9943955816429416
0.1975,0.8025,0.6062292549311106,0.9942124718751716
0.2,0.8,0.6054613829125256,0.994023977104994
0.2025,0.7975,0.6046841739304248,0.9938299602585019
0.20500000000000002,0.7949999999999999,0.6038976399703322,0.9936302814879147
0.20750000000000002,0.7925,0.6031017931615742,0.9934247981383635
0.21,0.79,0.6022966457770934,0.9932133647150251
0.2125,0.7875,0.6014822102332583,0.9929958328506375
0.215,0.785,0.6006584990896727,0.9927720512734276
0.2175,0.7825,0.5998255250489811,0.9925418657754843
0.22,0.78,0.598983300956674,0.9923051191816126
0.2225,0.7775,0.5981318398008885,0.9920616513186986
0.225,0.775,0.5972711547122089,0.9918112989856259
0.2275,0.7725,0.5964012589634642,0.9915538959237739
0.23,0.77,0.5955221659695229,0.9912892727881383
0.2325,0.7675,0.5946338892870864,0.991017257119109
0.23500000000000001,0.765,0.59373644261448,0.9907376733149447
0.23750000000000002,0.7625,0.5928298397914417,0.9904503426049797
0.24,0.76,0.5919140947989083,0.9901550830236076
0.2425,0.7575000000000001,0.5909892217588008,0.9898517093850755
0.245,0.755,0.5900552349338051,0.9895400332591346
0.2475,0.7525,0.5891121487271539,0.9892198629475849
0.25,0.75,0.5881599776824029,0.9888910034617577
0.2525,0.7475,0.5871987364832075,0.9885532565009779
0.255,0.745,0.5862284399530964,0.9882064204320493
0.2575,0.7424999999999999,0.5852491030552419,0.9878502902698063
0.26,0.74,0.5842607408922309,0.9874846576587764
0.2625,0.7375,0.5832633687058305,0.9871093108559985
0.265,0.735,0.5822570018767534,0.986724034715043
0.2675,0.7324999999999999,0.5812416559244215,0.986328610671277
0.27,0.73,0.580217346506725,0.9859228167284252
0.2725,0.7275,0.5791840894197824,0.9855064274464685
0.275,0.725,0.5781419005976961,0.9850792139309321
0.2775,0.7224999999999999,0.5770907961123072,0.9846409438236076
0.28,0.72,0.576030792172947,0.9841913812947581
0.28250000000000003,0.7175,0.5749619051261875,0.9837302870368562
0.28500000000000003,0.715,0.5738841514555892,0.9832574182599007
0.28750000000000003,0.7124999999999999,0.5727975477814471,0.9827725286883648
0.29,0.71,0.571702110860534,0.9822753685598222
0.2925,0.7075,0.5705978575858424,0.9817656846253012
0.295,0.7050000000000001,0.5694848049863236,0.981243220151419
0.2975,0.7025,0.5683629702266257,0.9807077149243425
0.3,0.7,0.5672323706068286,0.9801589052556297
0.3025,0.6975,0.566093023562177,0.9795965239899983
0.305,0.6950000000000001,0.5649449466628117,0.9790203005150743
0.3075,0.6925,0.5637881576134987,0.9784299607731706
0.31,0.69,0.5626226742533561,0.9778252272751448
0.3125,0.6875,0.5614485145555793,0.9772058191163877
0.315,0.685,0.5602656966271633,0.9765714519949921
0.3175,0.6825,0.5590742387086236,0.9759218382321527
0.32,0.6799999999999999,0.5578741591737154,0.9752566867948457
0.3225,0.6775,0.5566654765291495,0.974575703320839
0.325,0.675,0.5554482094143077,0.9738785901460818
0.3275,0.6725,0.5542223766009546,0.9731650463345229
0.33,0.6699999999999999,0.5529879969929488,0.9724347677104066
0.3325,0.6675,0.5517450896259506,0.971687446893093
0.335,0.665,0.5504936736671292,0.9709227733344533
0.3375,0.6625,0.5492337684148668,0.9701404333588844
0.34,0.6599999999999999,0.5479653932984612,0.9693401102059924
0.3425,0.6575,0.5466885678778254,0.9685214840759879
0.34500000000000003,0.655,0.5454033118431869,0.9676842321778412
0.34750000000000003,0.6525,0.544109645014784,0.966828028780241
0.35000000000000003,0.6499999999999999,0.5428075873425593,0.9659525452654006
0.3525,0.6475,0.5414971589058529,0.9650574501857543
0.355,0.645,0.5401783799130925,0.9641424093235862
0.3575,0.6425000000000001,0.5388512707014812,0.963207085753633
0.36,0.64,0.537515851736685,0.962251139908701
0.3625,0.6375,0.5361721436125163,0.9612742296483356
0.365,0.635,0.5348201670506169,0.9602760103305814
0.3675,0.6325000000000001,0.5334599429001373,0.9592561348868699
0.37,0.63,0.532091492137417,0.9582142539000708
0.3725,0.6275,0.5307148358656595,0.9571500156857389
0.375,0.625,0.5293299953146074,0.9560630663765926
0.3775,0.6225,0.5279369918402155,0.9549530500102513
0.38,0.62,0.52653584692432,0.9538196086202653
0.3825,0.6174999999999999,0.5251265821743093,0.9526623823304632
0.385,0.615,0.523709219322789,0.951481009452646
