mass_kg,gamma_thermal_1mK_s^-1,gamma_planck_energy_s^-1
2.0309176209047474e-11,8.017140842168124e-106,1.7822523424533843e+34
2.4244620170823407e-11,1.1425248822369005e-105,2.539892572384089e+34
2.8942661247167636e-11,1.6282152605634237e-105,3.6196076871873103e+34
3.455107294592232e-11,2.320373915657023e-105,5.158312580459889e+34
4.1246263829013646e-11,3.3067710633042424e-105,7.351125032670925e+34
4.9238826317067515e-11,4.7124882723955564e-105,1.0476107913790537e+35
5.878016072274923e-11,6.7157796207624594e-105,1.4929529362325245e+35
7.017038286703836e-11,9.570675470715027e-105,2.1276112160616695e+35
8.376776400682924e-11,1.3639195169919371e-104,3.0320644253760916e+35
1e-10,1.9437253457435827e-104,4.3210031091341885e+35
1.1937766417144357e-10,2.7700081805547945e-104,6.1578730692146805e+35
1.4251026703029964e-10,3.9475460548697816e-104,8.775601354324748e+35
1.7012542798525996e-10,5.625658423939075e-104,1.2506132923562994e+36
2.0309176209047473e-10,8.017140842168124e-104,1.7822523424533844e+36
2.4244620170823405e-10,1.1425248822369007e-103,2.5398925723840878e+36
2.8942661247167636e-10,1.6282152605634237e-103,3.6196076871873097e+36
3.4551072945922325e-10,2.320373915657024e-103,5.1583125804598896e+36
4.1246263829013647e-10,3.306771063304244e-103,7.351125032670927e+36
4.923882631706752e-10,4.712488272395556e-103,1.047610791379054e+37
5.878016072274924e-10,6.715779620762462e-103,1.492952936232525e+37
7.017038286703836e-10,9.570675470715027e-103,2.1276112160616696e+37
8.376776400682924e-10,1.3639195169919367e-102,3.032064425376091e+37
1e-09,1.943725345743583e-102,4.321003109134189e+37
1.1937766417144357e-09,2.7700081805547936e-102,6.15787306921468e+37
1.4251026703029963e-09,3.9475460548697825e-102,8.775601354324749e+37
1.7012542798525997e-09,5.625658423939076e-102,1.2506132923562993e+38
2.0309176209047474e-09,8.017140842168124e-102,1.7822523424533845e+38
2.424462017082341e-09,1.1425248822369008e-101,2.539892572384088e+38
2.8942661247167636e-09,1.628215260563423e-101,3.61960768718731e+38
3.4551072945922323e-09,2.3203739156570235e-101,5.1583125804598884e+38
4.124626382901365e-09,3.3067710633042444e-101,7.351125032670928e+38
4.923882631706752e-09,4.712488272395556e-101,1.0476107913790537e+39
5.878016072274924e-09,6.715779620762462e-101,1.4929529362325246e+39
7.017038286703837e-09,9.570675470715028e-101,2.1276112160616705e+39
8.376776400682925e-09,1.363919516991937e-100,3.032064425376092e+39
1e-08,1.9437253457435825e-100,4.321003109134188e+39
1.1937766417144358e-08,2.770008180554795e-100,6.157873069214682e+39
1.4251026703029963e-08,3.9475460548697817e-100,8.77560135432475e+39
1.7012542798525995e-08,5.625658423939075e-100,1.2506132923562996e+40
2.0309176209047473e-08,8.017140842168123e-100,1.7822523424533845e+40
2.4244620170823405e-08,1.1425248822369004e-99,2.5398925723840876e+40
2.8942661247167636e-08,1.6282152605634233e-99,3.6196076871873104e+40
3.455107294592232e-08,2.3203739156570227e-99,5.158312580459888e+40
4.124626382901365e-08,3.3067710633042434e-99,7.351125032670927e+40
4.923882631706752e-08,4.712488272395558e-99,1.0476107913790536e+41
5.878016072274924e-08,6.7157796207624615e-99,1.4929529362325246e+41
7.017038286703836e-08,9.570675470715028e-99,2.12761121606167e+41
8.376776400682925e-08,1.3639195169919368e-98,3.0320644253760916e+41
1e-07,1.9437253457435823e-98,4.321003109134187e+41
